ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,0,0,46,0,-46
1,1,0,113,0,-113
2,0,0,31,0,-31
3,1,1,1806,1205,-601
4,1,0,36,0,-36
5,1,0,13,0,-13
6,1,0,5,0,-5
7,1,0,99,0,-99
8,1,1,947,1219,272
9,0,0,54,0,-54
10,1,0,69,0,-69
11,1,0,26,0,-26
12,1,0,4,0,-4
13,0,0,11,0,-11
14,1,0,4,0,-4
15,0,0,1,0,-1
16,1,1,524,1213,689
17,1,0,96,0,-96
18,1,0,109,0,-109
19,1,0,100,0,-100
20,0,0,56,0,-56
21,0,0,56,0,-56
22,1,1,616,1284,668
23,1,0,34,0,-34
24,0,0,13,0,-13
25,1,0,67,0,-67
26,1,1,56,1645,1589
27,0,0,44,0,-44
28,0,0,77,0,-77
29,1,1,529,1209,680
30,1,1,794,1682,888
31,1,0,237,0,-237
32,1,1,493,1521,1028
33,1,0,69,0,-69
34,0,0,29,0,-29
35,1,0,24,0,-24
36,0,0,112,0,-112
37,0,0,106,0,-106
38,1,1,433,1379,946
39,0,0,134,0,-134
40,1,0,0,0,0
41,1,0,40,0,-40
42,0,0,22,0,-22
43,0,0,38,0,-38
44,0,0,1,0,-1
45,1,0,69,0,-69
46,0,0,17,0,-17
47,1,1,447,2022,1575
48,1,0,21,0,-21
49,1,1,932,1371,439
50,0,0,3,0,-3
51,1,0,55,0,-55
52,1,0,0,0,0
53,0,0,43,0,-43
54,0,0,81,0,-81
55,0,0,147,0,-147
56,0,0,61,0,-61
57,1,0,13,0,-13
58,1,1,437,2392,1955
59,1,1,276,2406,2130
60,1,1,262,1251,989
61,1,1,211,1342,1131
62,1,1,25,1311,1286
63,1,1,793,1202,409
64,0,0,15,0,-15
65,0,0,1,0,-1
66,0,0,0,0,0
67,1,1,416,2107,1691
68,1,1,525,2292,1767
69,1,1,562,1391,829
70,0,0,7,0,-7
71,1,0,26,0,-26
72,1,1,2039,1587,-452
73,1,0,97,0,-97
74,1,1,551,1207,656
75,1,1,149,1282,1133
76,1,0,27,0,-27
77,0,0,55,0,-55
78,1,0,100,0,-100
79,0,0,41,0,-41
80,1,1,183,1217,1034
81,0,0,54,0,-54
82,1,0,18,0,-18
83,1,0,24,0,-24
84,1,0,73,0,-73
85,1,1,548,1499,951
86,0,0,122,0,-122
87,1,1,1484,1219,-265
88,0,0,62,0,-62
89,1,1,1202,1215,13
90,1,1,1869,1202,-667
91,1,1,534,1408,874
92,0,0,3,0,-3
93,1,0,18,0,-18
94,1,0,15,0,-15
95,0,0,55,0,-55
96,1,0,21,0,-21
97,1,0,48,0,-48
98,0,0,15,0,-15
99,1,1,1050,1486,436
100,1,1,40,1301,1261
101,0,0,8,0,-8
102,0,0,43,0,-43
103,1,0,15,0,-15
104,0,0,17,0,-17
105,1,1,114,1215,1101
106,1,0,0,0,0
107,0,0,3,0,-3
108,0,0,7,0,-7
109,0,0,154,0,-154
110,1,1,91,1225,1134
111,0,0,33,0,-33
112,0,0,21,0,-21
113,0,0,19,0,-19
114,1,1,767,1626,859
115,0,0,3,0,-3
116,0,0,8,0,-8
117,1,1,867,2045,1178
118,1,0,192,0,-192
119,1,1,287,1784,1497
120,0,0,21,0,-21
121,1,0,52,0,-52
122,1,1,1046,1395,349
123,0,0,17,0,-17
124,1,0,170,0,-170
125,0,0,75,0,-75
126,1,0,25,0,-25
127,1,0,47,0,-47
128,1,0,30,0,-30
129,1,0,14,0,-14
130,1,0,34,0,-34
131,0,0,62,0,-62
132,1,0,99,0,-99
133,0,0,89,0,-89
134,1,0,64,0,-64
135,1,0,88,0,-88
136,0,0,8,0,-8
137,0,0,11,0,-11
138,1,0,118,0,-118
139,0,0,2,0,-2
140,0,0,85,0,-85
141,1,0,72,0,-72
142,1,1,140,1335,1195
143,0,0,19,0,-19
144,1,1,1338,1249,-89
145,0,0,52,0,-52
146,1,0,17,0,-17
147,0,0,84,0,-84
148,0,0,34,0,-34
149,1,0,13,0,-13
150,1,0,26,0,-26
151,1,0,6,0,-6
152,1,0,29,0,-29
153,0,0,88,0,-88
154,1,1,844,1210,366
155,1,0,101,0,-101
156,0,0,88,0,-88
157,1,1,196,1230,1034
158,1,1,625,1242,617
159,1,1,211,1908,1697
160,1,0,68,0,-68
161,1,0,34,0,-34
162,0,0,51,0,-51
163,1,1,90,1312,1222
164,1,1,25,1267,1242
165,1,1,340,1208,868
166,0,0,19,0,-19
167,1,0,33,0,-33
168,1,0,214,0,-214
169,1,1,487,1522,1035
170,1,1,946,1688,742
171,1,0,35,0,-35
172,1,0,19,0,-19
173,1,0,177,0,-177
174,1,0,97,0,-97
175,1,0,114,0,-114
176,1,1,272,1684,1412
177,1,1,707,1272,565
178,1,0,42,0,-42
179,1,1,178,1201,1023
180,0,0,19,0,-19
181,1,1,882,1327,445
182,1,1,386,1321,935
183,1,0,38,0,-38
184,1,1,178,1321,1143
185,0,0,16,0,-16
186,1,0,60,0,-60
187,0,0,2,0,-2
188,1,1,2101,1525,-576
189,1,0,34,0,-34
190,1,1,221,1326,1105
191,1,1,774,1502,728
192,0,0,37,0,-37
193,0,0,68,0,-68
194,0,0,40,0,-40
195,1,1,88,1651,1563
196,0,0,27,0,-27
197,1,1,170,2477,2307
198,0,0,52,0,-52
199,0,0,28,0,-28
200,1,0,70,0,-70
201,1,0,45,0,-45
202,1,0,65,0,-65
203,1,1,141,1252,1111
204,0,0,96,0,-96
205,1,0,70,0,-70
206,1,0,1,0,-1
207,0,0,30,0,-30
208,0,0,3,0,-3
209,0,0,11,0,-11
210,1,1,59,1315,1256
211,0,0,16,0,-16
212,0,0,18,0,-18
213,1,1,1017,1331,314
214,0,0,66,0,-66
215,0,0,39,0,-39
216,0,0,7,0,-7
217,1,1,9,1974,1965
218,1,1,118,1460,1342
219,1,1,603,1216,613
220,1,1,804,1365,561
221,1,1,1482,1611,129
222,0,0,29,0,-29
223,0,0,37,0,-37
224,1,1,398,1398,1000
225,1,1,699,1403,704
226,1,1,566,1594,1028
227,1,1,680,1258,578
228,1,1,366,1242,876
229,1,0,76,0,-76
230,1,1,474,1521,1047
231,0,0,4,0,-4
232,0,0,1,0,-1
233,0,0,13,0,-13
234,0,0,22,0,-22
235,0,0,0,0,0
236,1,1,990,2403,1413
237,1,1,179,1520,1341
238,1,0,60,0,-60
239,1,1,84,1311,1227
240,0,0,45,0,-45
241,1,0,85,0,-85
242,1,0,24,0,-24
243,1,1,151,1361,1210
244,1,1,777,1457,680
245,0,0,164,0,-164
246,1,1,501,1426,925
247,0,0,41,0,-41
248,1,0,40,0,-40
249,0,0,7,0,-7
250,1,1,911,1257,346
251,0,0,4,0,-4
252,1,0,30,0,-30
253,1,0,152,0,-152
254,0,0,23,0,-23
255,1,0,84,0,-84
256,0,0,73,0,-73
257,1,1,50,1268,1218
258,0,0,23,0,-23
259,0,0,115,0,-115
260,1,1,257,1340,1083
261,1,1,199,1462,1263
262,1,0,45,0,-45
263,0,0,15,0,-15
264,0,0,10,0,-10
265,1,1,201,1421,1220
266,1,1,1182,1564,382
267,1,0,17,0,-17
268,0,0,60,0,-60
269,1,1,565,2326,1761
270,0,0,11,0,-11
271,1,0,23,0,-23
272,1,0,16,0,-16
273,1,1,175,2793,2618
274,1,0,43,0,-43
275,0,0,4,0,-4
276,1,1,93,1461,1368
277,1,1,513,1511,998
278,0,0,167,0,-167
279,1,0,25,0,-25
280,0,0,69,0,-69
281,1,1,985,1243,258
282,1,1,322,3018,2696
283,1,1,556,1767,1211
284,0,0,108,0,-108
285,1,1,251,1456,1205
286,1,1,706,1643,937
287,0,0,87,0,-87
288,1,1,714,1211,497
289,0,0,28,0,-28
290,0,0,38,0,-38
291,1,1,2426,1366,-1060
292,0,0,125,0,-125
293,0,0,11,0,-11
294,1,0,21,0,-21
295,1,0,92,0,-92
296,0,0,8,0,-8
297,0,0,6,0,-6
298,1,1,365,1496,1131
299,1,0,19,0,-19
300,1,1,198,1754,1556
301,1,0,23,0,-23
302,1,0,9,0,-9
303,1,0,65,0,-65
304,1,1,327,1538,1211
305,0,0,67,0,-67
306,0,0,97,0,-97
307,0,0,103,0,-103
308,0,0,3,0,-3
309,1,0,144,0,-144
310,0,0,62,0,-62
311,1,1,353,1409,1056
312,1,1,211,1225,1014
313,1,0,13,0,-13
314,1,1,430,1361,931
315,1,1,823,1258,435
316,1,0,46,0,-46
317,1,0,30,0,-30
318,0,0,70,0,-70
319,1,1,717,1665,948
320,0,0,50,0,-50
321,1,1,1148,1261,113
322,1,0,38,0,-38
323,1,0,29,0,-29
324,0,0,6,0,-6
325,0,0,0,0,0
326,1,1,773,1228,455
327,0,0,3,0,-3
328,1,0,10,0,-10
329,1,1,110,1380,1270
330,0,0,51,0,-51
331,1,1,502,2342,1840
332,1,1,118,1501,1383
333,0,0,129,0,-129
334,0,0,131,0,-131
335,1,0,86,0,-86
336,1,0,49,0,-49
337,1,1,506,1400,894
338,1,1,55,1347,1292
339,1,0,28,0,-28
340,1,1,100,1343,1243
341,1,1,1333,1592,259
342,0,0,25,0,-25
343,0,0,41,0,-41
344,0,0,18,0,-18
345,1,0,9,0,-9
346,1,0,56,0,-56
347,0,0,25,0,-25
348,1,1,70,1263,1193
349,1,1,567,1397,830
350,0,0,113,0,-113
351,1,0,34,0,-34
352,1,0,16,0,-16
353,1,1,220,1211,991
354,1,0,124,0,-124
355,1,1,1161,1306,145
356,0,0,105,0,-105
357,0,0,14,0,-14
358,1,1,278,1638,1360
359,1,1,179,1202,1023
360,1,0,9,0,-9
361,1,0,2,0,-2
362,0,0,6,0,-6
363,1,1,129,1275,1146
364,0,0,53,0,-53
365,0,0,22,0,-22
366,1,1,369,1207,838
367,1,0,54,0,-54
368,1,1,202,1394,1192
369,1,0,5,0,-5
370,1,1,2524,1227,-1297
371,1,0,16,0,-16
372,0,0,185,0,-185
373,0,0,101,0,-101
374,1,1,264,1335,1071
375,0,0,2,0,-2
376,0,0,16,0,-16
377,1,0,15,0,-15
378,0,0,26,0,-26
379,0,0,114,0,-114
380,1,0,7,0,-7
381,1,0,54,0,-54
382,1,0,4,0,-4
383,0,0,29,0,-29
384,1,0,19,0,-19
385,1,1,1561,1266,-295
386,1,1,666,1827,1161
387,1,0,4,0,-4
388,1,1,632,1490,858
389,1,1,275,3331,3056
390,1,1,198,1270,1072
391,1,0,36,0,-36
392,1,0,22,0,-22
393,0,0,20,0,-20
394,1,0,12,0,-12
395,1,0,12,0,-12
396,1,0,30,0,-30
397,1,1,812,1593,781
398,0,0,8,0,-8
399,0,0,48,0,-48
400,1,0,38,0,-38
401,1,1,125,1330,1205
402,0,0,63,0,-63
403,1,1,927,1259,332
404,1,0,91,0,-91
405,1,0,14,0,-14
406,0,0,102,0,-102
407,0,0,41,0,-41
408,0,0,79,0,-79
409,1,0,8,0,-8
410,1,1,122,1242,1120
411,1,1,2541,1243,-1298
412,1,0,24,0,-24
413,0,0,12,0,-12
414,1,0,8,0,-8
415,1,0,5,0,-5
416,0,0,53,0,-53
417,1,0,10,0,-10
418,0,0,42,0,-42
419,1,1,1950,1330,-620
420,0,0,11,0,-11
421,0,0,41,0,-41
422,0,0,6,0,-6
423,0,0,77,0,-77
424,1,0,38,0,-38
425,0,0,76,0,-76
426,1,0,72,0,-72
427,0,0,15,0,-15
428,0,0,13,0,-13
429,1,1,322,2300,1978
430,1,1,48,1265,1217
431,0,0,6,0,-6
432,0,0,38,0,-38
433,1,0,63,0,-63
434,1,1,1666,1213,-453
435,1,1,436,1422,986
436,1,1,2577,1443,-1134
437,0,0,10,0,-10
438,0,0,10,0,-10
439,1,0,12,0,-12
440,0,0,73,0,-73
441,0,0,60,0,-60
442,1,0,28,0,-28
443,1,0,6,0,-6
444,1,1,431,1481,1050
445,0,0,58,0,-58
446,1,1,1051,1332,281
447,0,0,13,0,-13
448,1,1,120,1364,1244
449,1,1,287,2158,1871
450,1,0,171,0,-171
451,0,0,38,0,-38
452,0,0,59,0,-59
453,1,0,122,0,-122
454,1,1,179,1964,1785
455,1,0,77,0,-77
456,1,0,1,0,-1
457,0,0,34,0,-34
458,0,0,9,0,-9
459,1,0,16,0,-16
460,0,0,17,0,-17
461,1,1,541,1350,809
462,0,0,51,0,-51
463,1,0,82,0,-82
464,1,1,221,1276,1055
465,1,0,3,0,-3
466,1,0,2,0,-2
467,1,1,84,1397,1313
468,1,0,45,0,-45
469,1,0,50,0,-50
470,1,1,328,1515,1187
471,1,0,6,0,-6
472,0,0,194,0,-194
473,1,1,652,1799,1147
474,0,0,38,0,-38
475,0,0,1,0,-1
476,1,1,519,1482,963
477,1,0,76,0,-76
478,1,0,3,0,-3
479,0,0,36,0,-36
480,1,1,1222,1695,473
481,0,0,78,0,-78
482,0,0,8,0,-8
483,0,0,72,0,-72
484,0,0,0,0,0
485,0,0,9,0,-9
486,1,0,31,0,-31
487,1,0,3,0,-3
488,1,0,21,0,-21
489,0,0,20,0,-20
490,0,0,11,0,-11
491,1,0,5,0,-5
492,1,0,187,0,-187
493,0,0,58,0,-58
494,0,0,119,0,-119
495,1,1,1211,1252,41
496,1,0,69,0,-69
497,1,0,35,0,-35
498,1,1,277,1203,926
499,1,1,159,1226,1067
500,0,0,23,0,-23
501,1,1,443,1319,876
502,1,0,77,0,-77
503,1,0,93,0,-93
504,0,0,22,0,-22
505,0,0,56,0,-56
506,0,0,12,0,-12
507,0,0,30,0,-30
508,1,0,31,0,-31
509,1,0,11,0,-11
510,0,0,2,0,-2
511,1,0,115,0,-115
512,0,0,37,0,-37
513,1,1,147,1682,1535
514,0,0,22,0,-22
515,0,0,89,0,-89
516,1,0,10,0,-10
517,1,1,453,1338,885
518,0,0,97,0,-97
519,1,0,29,0,-29
520,0,0,11,0,-11
521,1,1,313,1588,1275
522,0,0,72,0,-72
523,0,0,30,0,-30
524,0,0,72,0,-72
525,1,0,2,0,-2
526,0,0,33,0,-33
527,1,1,402,1497,1095
528,1,1,170,1686,1516
529,1,0,158,0,-158
530,0,0,17,0,-17
531,1,0,128,0,-128
532,1,0,65,0,-65
533,1,0,158,0,-158
534,1,1,116,1432,1316
535,0,0,155,0,-155
536,0,0,17,0,-17
537,0,0,93,0,-93
538,0,0,12,0,-12
539,0,0,9,0,-9
540,1,0,29,0,-29
541,0,0,8,0,-8
542,1,0,72,0,-72
543,1,0,6,0,-6
544,1,0,21,0,-21
545,0,0,2,0,-2
546,1,0,127,0,-127
547,1,1,185,1635,1450
548,0,0,92,0,-92
549,1,1,778,1818,1040
550,1,1,557,1211,654
551,0,0,18,0,-18
552,1,1,1202,1345,143
553,1,1,50,1213,1163
554,1,0,33,0,-33
555,1,0,156,0,-156
556,1,0,21,0,-21
557,1,0,34,0,-34
558,1,1,132,1414,1282
559,0,0,2,0,-2
560,0,0,25,0,-25
561,0,0,5,0,-5
562,0,0,48,0,-48
563,0,0,37,0,-37
564,1,0,28,0,-28
565,0,0,2,0,-2
566,0,0,85,0,-85
567,1,0,44,0,-44
568,0,0,43,0,-43
569,1,1,170,1274,1104
570,1,0,55,0,-55
571,1,0,79,0,-79
572,1,1,82,1323,1241
573,1,1,175,2314,2139
574,1,0,33,0,-33
575,0,0,14,0,-14
576,1,1,237,1585,1348
577,1,1,313,1753,1440
578,1,0,83,0,-83
579,1,1,715,2157,1442
580,1,1,812,1221,409
581,1,1,638,1602,964
582,1,1,1026,1258,232
583,1,0,102,0,-102
584,0,0,46,0,-46
585,1,1,89,1317,1228
586,0,0,85,0,-85
587,1,1,799,1231,432
588,0,0,9,0,-9
589,1,0,102,0,-102
590,0,0,18,0,-18
591,0,0,93,0,-93
592,0,0,23,0,-23
593,1,0,24,0,-24
594,0,0,203,0,-203
595,1,1,63,1870,1807
596,1,0,85,0,-85
597,1,0,24,0,-24
598,0,0,30,0,-30
599,1,1,167,1249,1082
600,1,1,214,1513,1299
601,0,0,13,0,-13
602,0,0,52,0,-52
603,1,0,97,0,-97
604,0,0,15,0,-15
605,0,0,64,0,-64
606,0,0,77,0,-77
607,0,0,23,0,-23
608,1,1,64,1237,1173
609,1,1,418,1813,1395
610,1,1,271,1439,1168
611,0,0,195,0,-195
612,1,0,45,0,-45
613,1,0,14,0,-14
614,0,0,28,0,-28
615,0,0,2,0,-2
616,1,0,34,0,-34
617,0,0,37,0,-37
618,0,0,209,0,-209
619,1,0,1,0,-1
620,1,1,368,2023,1655
621,1,0,50,0,-50
622,1,0,22,0,-22
623,0,0,10,0,-10
624,1,0,14,0,-14
625,0,0,32,0,-32
626,1,0,8,0,-8
627,0,0,8,0,-8
628,1,0,183,0,-183
629,1,0,41,0,-41
630,0,0,85,0,-85
631,0,0,23,0,-23
632,1,0,37,0,-37
633,1,1,323,1952,1629
634,1,1,607,2255,1648
635,1,1,473,1546,1073
636,1,1,39,2595,2556
637,1,1,640,2648,2008
638,1,1,316,1556,1240
639,1,0,12,0,-12
640,1,0,26,0,-26
641,1,0,27,0,-27
642,1,1,2486,1868,-618
643,0,0,20,0,-20
644,1,0,0,0,0
645,1,1,34,2054,2020
646,0,0,113,0,-113
647,1,0,93,0,-93
648,1,0,3,0,-3
649,0,0,8,0,-8
650,1,0,9,0,-9
651,1,1,231,1689,1458
652,0,0,11,0,-11
653,1,1,1344,1777,433
654,1,1,397,1385,988
655,1,0,66,0,-66
656,1,1,357,2208,1851
657,0,0,13,0,-13
658,0,0,99,0,-99
659,0,0,9,0,-9
660,1,0,8,0,-8
661,1,0,116,0,-116
662,0,0,12,0,-12
663,0,0,7,0,-7
664,0,0,14,0,-14
665,1,1,352,1445,1093
666,1,1,796,1298,502
667,1,0,3,0,-3
668,1,1,246,1348,1102
669,1,1,251,1717,1466
670,1,1,402,2114,1712
671,1,1,57,1312,1255
672,1,0,11,0,-11
673,0,0,9,0,-9
674,1,0,29,0,-29
675,1,1,110,1533,1423
676,0,0,21,0,-21
677,1,0,16,0,-16
678,0,0,24,0,-24
679,0,0,20,0,-20
680,0,0,177,0,-177
681,0,0,37,0,-37
682,1,1,196,1563,1367
683,1,1,956,1466,510
684,1,1,555,1812,1257
685,0,0,19,0,-19
686,0,0,137,0,-137
687,0,0,22,0,-22
688,1,0,9,0,-9
689,1,1,220,1676,1456
690,1,1,613,1561,948
691,1,1,453,1464,1011
692,1,0,79,0,-79
693,1,0,23,0,-23
694,0,0,163,0,-163
695,0,0,153,0,-153
696,0,0,147,0,-147
697,0,0,144,0,-144
698,1,0,107,0,-107
699,1,1,104,1537,1433
700,0,0,9,0,-9
701,1,1,523,1484,961
702,1,0,117,0,-117
703,1,0,33,0,-33
704,0,0,77,0,-77
705,1,0,21,0,-21
706,0,0,9,0,-9
707,1,0,20,0,-20
708,1,0,21,0,-21
709,0,0,77,0,-77
710,0,0,45,0,-45
711,1,1,102,1384,1282
712,0,0,4,0,-4
713,1,0,47,0,-47
714,0,0,22,0,-22
715,1,0,12,0,-12
716,0,0,144,0,-144
717,1,0,45,0,-45
718,0,0,54,0,-54
719,1,0,6,0,-6
720,0,0,54,0,-54
721,1,1,745,1257,512
722,1,1,1650,1340,-310
723,1,0,54,0,-54
724,1,1,83,1620,1537
725,1,0,2,0,-2
726,1,1,1058,1772,714
727,1,1,383,1266,883
728,1,1,313,1527,1214
729,1,0,0,0,0
730,1,1,314,1285,971
731,0,0,16,0,-16
732,1,1,944,1228,284
733,1,1,82,1305,1223
734,1,0,6,0,-6
735,1,1,345,1236,891
736,0,0,19,0,-19
737,0,0,45,0,-45
738,1,0,32,0,-32
739,1,1,118,1376,1258
740,0,0,103,0,-103
741,1,0,9,0,-9
742,1,0,46,0,-46
743,0,0,93,0,-93
744,1,1,132,1247,1115
745,1,0,6,0,-6
746,1,1,15,1925,1910
747,1,1,180,1747,1567
748,1,1,920,4166,3246
749,1,0,76,0,-76
750,1,1,128,1212,1084
751,1,1,391,1383,992
752,1,1,968,1230,262
753,1,0,72,0,-72
754,0,0,4,0,-4
755,1,0,30,0,-30
756,1,0,19,0,-19
757,1,1,459,1213,754
758,0,0,18,0,-18
759,1,0,33,0,-33
760,1,1,1053,1759,706
761,0,0,5,0,-5
762,1,0,2,0,-2
763,1,1,415,1230,815
764,1,1,431,1202,771
765,1,1,1818,1395,-423
766,0,0,8,0,-8
767,1,0,45,0,-45
768,1,1,326,1700,1374
769,0,0,68,0,-68
770,1,0,33,0,-33
771,1,0,127,0,-127
772,0,0,80,0,-80
773,1,1,574,1263,689
774,1,0,31,0,-31
775,1,1,204,1281,1077
776,1,1,575,1973,1398
777,1,0,11,0,-11
778,1,0,167,0,-167
779,0,0,4,0,-4
780,1,0,21,0,-21
781,0,0,25,0,-25
782,1,0,2,0,-2
783,0,0,4,0,-4
784,0,0,3,0,-3
785,0,0,7,0,-7
786,0,0,87,0,-87
787,0,0,12,0,-12
788,0,0,13,0,-13
789,0,0,68,0,-68
790,1,1,1262,1521,259
791,0,0,32,0,-32
792,1,1,433,1280,847
793,0,0,8,0,-8
794,0,0,151,0,-151
795,1,1,120,1813,1693
796,1,1,190,1529,1339
797,0,0,57,0,-57
798,1,1,525,1215,690
799,0,0,4,0,-4
800,1,1,108,1332,1224
801,1,0,31,0,-31
802,1,0,18,0,-18
803,0,0,5,0,-5
804,0,0,32,0,-32
805,0,0,17,0,-17
806,1,0,71,0,-71
807,1,1,510,1319,809
808,1,1,47,1385,1338
809,1,1,557,1336,779
810,1,1,764,1401,637
811,1,0,52,0,-52
812,1,1,1600,1264,-336
813,0,0,72,0,-72
814,0,0,39,0,-39
815,1,1,410,1443,1033
816,1,0,62,0,-62
817,1,0,99,0,-99
818,1,0,43,0,-43
819,1,1,253,1434,1181
820,1,0,13,0,-13
821,1,1,170,2982,2812
822,1,1,175,1248,1073
823,1,0,17,0,-17
824,1,1,1275,1655,380
825,1,1,109,1756,1647
826,0,0,86,0,-86
827,0,0,100,0,-100
828,1,0,31,0,-31
829,0,0,95,0,-95
830,1,1,332,1724,1392
831,1,0,81,0,-81
832,0,0,123,0,-123
833,0,0,15,0,-15
834,0,0,127,0,-127
835,0,0,6,0,-6
836,1,0,4,0,-4
837,1,0,82,0,-82
838,1,1,158,1470,1312
839,0,0,7,0,-7
