ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,0,112,0,-112
1,0,0,66,0,-66
2,0,0,44,0,-44
3,0,0,186,0,-186
4,1,0,76,0,-76
5,0,0,178,0,-178
6,1,0,42,0,-42
7,0,0,30,0,-30
8,0,0,47,0,-47
9,1,1,291,1951,1660
10,1,0,20,0,-20
11,0,0,29,0,-29
12,1,0,0,0,0
13,0,0,92,0,-92
14,1,0,47,0,-47
15,1,0,99,0,-99
16,0,0,16,0,-16
17,0,0,59,0,-59
18,1,1,1020,1476,456
19,1,0,51,0,-51
20,1,1,123,2516,2393
21,1,1,2111,1464,-647
22,0,0,28,0,-28
23,1,0,6,0,-6
24,1,1,311,1608,1297
25,1,0,24,0,-24
26,0,0,46,0,-46
27,0,0,50,0,-50
28,1,1,294,1442,1148
29,1,0,79,0,-79
30,1,1,211,1384,1173
31,0,0,23,0,-23
32,0,0,3,0,-3
33,0,0,79,0,-79
34,1,1,27,1351,1324
35,0,0,26,0,-26
36,0,0,67,0,-67
37,1,0,109,0,-109
38,1,0,29,0,-29
39,1,1,1075,1256,181
40,0,0,1,0,-1
41,1,1,46,1673,1627
42,0,0,20,0,-20
43,1,0,47,0,-47
44,1,1,368,1392,1024
45,0,0,6,0,-6
46,1,0,33,0,-33
47,1,1,235,1785,1550
48,0,0,8,0,-8
49,1,0,0,0,0
50,0,0,33,0,-33
51,1,1,335,1513,1178
52,1,1,328,1206,878
53,1,0,17,0,-17
54,0,0,15,0,-15
55,1,0,27,0,-27
56,1,0,14,0,-14
57,1,1,342,1540,1198
58,0,0,101,0,-101
59,0,0,27,0,-27
60,1,0,48,0,-48
61,1,1,184,1423,1239
62,0,0,7,0,-7
63,1,0,141,0,-141
64,0,0,183,0,-183
65,1,1,651,1514,863
66,1,0,19,0,-19
67,1,1,505,2089,1584
68,1,1,209,1654,1445
69,0,0,1,0,-1
70,0,0,173,0,-173
71,1,0,65,0,-65
72,0,0,67,0,-67
73,1,0,111,0,-111
74,0,0,0,0,0
75,1,1,2511,1209,-1302
76,1,1,197,1332,1135
77,1,1,416,1430,1014
78,1,1,643,1249,606
79,1,0,44,0,-44
80,1,1,167,1262,1095
81,1,0,14,0,-14
82,1,1,178,1370,1192
83,0,0,89,0,-89
84,0,0,19,0,-19
85,0,0,165,0,-165
86,0,0,92,0,-92
87,0,0,33,0,-33
88,1,1,344,1702,1358
89,1,0,142,0,-142
90,1,1,633,2375,1742
91,0,0,26,0,-26
92,0,0,77,0,-77
93,0,0,39,0,-39
94,0,0,31,0,-31
95,1,1,1539,1452,-87
96,0,0,38,0,-38
97,0,0,51,0,-51
98,0,0,44,0,-44
99,0,0,2,0,-2
100,0,0,0,0,0
101,1,0,110,0,-110
102,0,0,23,0,-23
103,1,0,17,0,-17
104,1,0,22,0,-22
105,1,0,2,0,-2
106,1,1,146,1588,1442
107,0,0,18,0,-18
108,0,0,7,0,-7
109,1,1,613,1852,1239
110,1,0,1,0,-1
111,1,0,60,0,-60
112,0,0,2,0,-2
113,0,0,6,0,-6
114,0,0,8,0,-8
115,1,0,261,0,-261
116,0,0,152,0,-152
117,0,0,2,0,-2
118,0,0,21,0,-21
119,1,1,255,1315,1060
120,0,0,53,0,-53
121,0,0,31,0,-31
122,0,0,94,0,-94
123,0,0,25,0,-25
124,1,1,1416,1227,-189
125,1,1,123,1463,1340
126,1,0,68,0,-68
127,1,0,112,0,-112
128,1,0,56,0,-56
129,1,1,197,1353,1156
130,1,1,849,1901,1052
131,1,0,110,0,-110
132,0,0,97,0,-97
133,1,0,9,0,-9
134,1,0,56,0,-56
135,0,0,40,0,-40
136,1,1,726,1225,499
137,1,0,42,0,-42
138,1,1,878,1216,338
139,1,0,71,0,-71
140,0,0,52,0,-52
141,1,0,65,0,-65
142,0,0,34,0,-34
143,1,1,719,1340,621
144,0,0,38,0,-38
145,1,0,29,0,-29
146,1,0,58,0,-58
147,0,0,179,0,-179
148,1,1,1129,2178,1049
149,1,0,10,0,-10
150,1,1,283,2374,2091
151,0,0,152,0,-152
152,0,0,59,0,-59
153,1,1,723,1249,526
154,1,0,29,0,-29
155,1,1,470,1221,751
156,1,1,372,1511,1139
