ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,26,30118.619648242813,0.024275403591813648,1,396,10004,4451,14059
1,75,36013.78410479552,0.0695086699987312,1,60,11759,1486,13185
2,70,30608.778367240964,0.13272809902269297,1,818,7078,2858,9118
3,31,20102.094037822742,0.055882849731957826,0,1,0,0,-1
4,46,27895.471358111125,0.04311444376854679,1,308,18316,1422,19430
5,21,20602.469041634373,0.003921485328900622,1,883,5321,1380,5818
6,59,24259.759634815233,0.03858478288851786,1,197,5445,2171,7419
7,60,23650.324926703805,0.023407143299430326,0,28,0,0,-28
8,38,78024.17783445914,0.0663899984652843,0,54,0,0,-54
9,23,22211.279426125802,0.06472377507998821,1,265,6358,2882,8975
10,61,22706.865245006033,0.163414538551039,1,281,7083,2126,8928
11,33,56366.24687744026,0.008698760322564326,0,2,0,0,-2
12,38,26328.33338798825,0.29286238466969505,0,56,0,0,-56
13,74,20232.429831376227,0.25205245520261116,1,256,6194,1511,7449
14,24,24465.982892410208,0.0778764408494786,1,122,6173,1609,7660
15,70,39314.872588922604,0.17038190927938426,0,236,0,0,-236
16,19,27311.306535899508,0.007369056601036353,1,824,9208,1521,9905
17,41,22112.98980920588,0.3285943845571116,0,74,0,0,-74
18,51,23569.316896759687,0.41505630251193015,1,638,7608,1344,8314
19,39,46245.107995661325,0.20124626409196977,1,918,8318,1660,9060
20,75,42676.26719176277,0.2470299924187974,1,1803,5463,1727,5387
21,50,26609.894237886776,0.008653029236673493,0,18,0,0,-18
22,70,34392.20076877685,0.16480052855860808,1,3539,6669,1488,4618
23,47,24369.994349924582,0.02648291135151918,1,1092,6174,1402,6484
24,29,22293.219007103762,0.018331747318676865,1,120,10300,1439,11619
25,60,23898.166705549334,0.1319713167172906,1,227,13820,1691,15284
26,37,28168.225771413632,0.014199308502063754,1,270,5755,9991,15476
27,25,49024.82991256552,0.3572608552174472,1,584,8717,1416,9549
28,19,50685.48729680764,0.0269141032818552,1,1444,5988,1778,6322
29,68,20819.604238459233,0.0004093009599834656,1,297,24786,1445,25934
30,60,20483.244325647556,0.043298451006983,1,1095,21259,1414,21578
31,42,29818.782300674055,0.368938556898449,1,150,7003,1719,8572
32,43,34566.249710891956,0.014932884101277957,1,121,5414,1433,6726
33,33,60848.00768745233,0.010093359803426367,1,1044,9963,1761,10680
34,29,33859.522633497756,0.11657700033452882,1,326,14124,2325,16123
35,32,23270.878977648947,0.011126337447118283,1,565,6034,3270,8739
36,19,25405.08960787133,0.09784656813151577,1,1035,5955,2159,7079
37,29,24245.803201182258,0.1586095127979467,0,2,0,0,-2
38,73,20597.103343640392,0.03809200698220706,1,697,23962,1420,24685
39,44,21997.038941750197,0.013572221029892391,1,744,6213,2026,7495
40,28,23905.92549242284,0.2668686962093491,0,78,0,0,-78
41,48,29180.05037868904,0.19410354368326838,0,39,0,0,-39
42,35,22777.734854205413,0.19243273248187487,0,35,0,0,-35
43,31,22020.870057536133,0.026040988228308744,1,351,5600,1770,7019
44,19,30390.349775045277,0.18254755876164486,0,2,0,0,-2
45,49,44768.647621335054,0.04207676755317894,1,81,10722,1397,12038
46,31,22611.779927951553,0.09455370004750482,1,378,7456,1542,8620
47,38,28986.257741447287,0.23636278695433352,0,66,0,0,-66
48,30,26308.86983544546,0.08135965573255924,1,2144,5572,1390,4818
49,22,22870.78345527083,0.04303719403007162,1,145,10186,1438,11479
50,18,23199.415725412706,0.3288858757845312,0,38,0,0,-38
51,19,20989.25701687026,0.05850909190370876,1,132,5702,1357,6927
52,58,24703.045751770736,0.1492429014321272,1,72,8030,1395,9353
53,55,21752.756318156724,0.23004195653954831,1,295,8111,3250,11066
54,54,41348.14762133866,0.05165395060167537,1,296,6770,2875,9349
55,28,28585.336745374276,0.02765089713553339,1,435,5562,2162,7289
56,21,30719.724309341193,0.1214029795132067,1,391,17495,1391,18495
57,31,26793.817852674238,0.13530187910128288,0,2,0,0,-2
58,50,23697.956380070955,0.37629766791678143,1,39,9611,2721,12293
59,21,21941.015524058195,0.00945816214134035,1,197,14023,1492,15318
60,50,29121.748260256634,0.09686426840222785,1,293,9171,2038,10916
61,31,31538.28431893546,0.2896626659185543,1,166,6308,1740,7882
62,51,24624.370952765887,0.29151672626028635,0,72,0,0,-72
63,26,21038.193806526837,0.1982954074743412,1,129,15850,1894,17615
64,49,30869.76078406036,0.0534111773872665,1,433,5352,1750,6669
65,41,20276.861630382202,0.05171416854551311,0,99,0,0,-99
66,68,27984.467264012877,0.048721150565414935,1,290,8453,1437,9600
67,73,79317.11245885391,0.38237651032290765,0,58,0,0,-58
68,30,32680.17243963673,0.13027532375031312,1,131,6850,1354,8073
69,29,36623.82846486477,0.32751232264591346,1,139,19809,1716,21386
70,68,28080.913055601723,0.22088155578427,1,254,6216,1439,7401
71,20,22336.936251821448,0.05034001650945474,1,821,34669,1500,35348
72,47,29315.559647571798,0.1654944764081422,1,109,8335,2165,10391
73,20,25770.50020945294,0.0168316228103156,1,93,7239,1452,8598
74,57,32598.45531303749,0.02796861719807916,1,317,10407,2185,12275
75,45,25890.676983687936,0.050212184293373124,0,33,0,0,-33
76,23,23083.92496181653,0.1948236111681131,1,231,10845,1489,12103
77,64,22674.056488433485,0.1327695031377462,1,2327,6592,1845,6110
78,73,23798.811387817605,0.2923645562010462,1,1041,6602,1886,7447
79,63,34562.48973990625,0.10426577326875372,1,310,12796,1664,14150
80,31,44366.12260192691,0.12197898687029793,0,51,0,0,-51
81,47,34965.85338045415,0.04423034450551308,1,175,12040,2625,14490
82,54,27484.025556661414,0.011261645407129707,1,240,10829,3041,13630
83,28,22654.333003453765,0.13487006120980916,1,132,6092,1433,7393
84,52,29199.122157932212,0.27102840382246407,1,767,5892,1377,6502
85,31,20507.07197381925,0.1033353103573954,1,176,19306,1405,20535
86,27,37764.64358451003,0.046958696296113,1,831,28123,1544,28836
87,35,24861.939051117533,0.1725026518831834,1,128,14457,3407,17736
88,65,21696.601591702427,0.04758268536052485,1,737,10114,1414,10791
89,26,22291.857450497027,0.07125579805427208,1,608,10992,1578,11962
90,33,23689.645417470052,0.1271887325726771,0,11,0,0,-11
91,47,20125.355005529364,0.009040190336824143,1,747,7610,1776,8639
92,33,24473.57894856554,0.0932699449772588,1,456,17658,2412,19614
93,72,32307.34994464896,0.01784141696339073,1,414,8325,2415,10326
94,21,22504.580950893178,0.09267433228143472,1,397,13974,1410,14987
95,20,25617.883792473953,0.201437051403786,1,799,5331,3176,7708
96,32,20753.75808221062,0.5138495980691463,1,651,8707,1380,9436
97,32,21162.271812036164,0.006834045687907762,1,352,9119,1504,10271
98,51,34055.91058910376,0.057518976171010455,1,124,5284,2525,7685
99,37,26362.582789207205,0.03711956573225722,0,1,0,0,-1
100,24,27563.53535320579,0.022566987389423403,0,144,0,0,-144
101,51,27845.918492977285,0.025724893218395387,0,10,0,0,-10
102,28,25898.939606795724,0.0052113238778457565,1,524,10077,1931,11484
103,38,22422.18886803003,0.022925548357069992,1,21,6921,3083,9983
104,28,21439.66495885805,0.013214149144303557,1,410,6090,1360,7040
105,24,96201.40132862728,0.09723691626230478,1,469,6682,1356,7569
106,27,30366.542126839115,0.020984853337794915,0,23,0,0,-23
107,44,20902.81566939312,0.013707836881417293,1,1020,8292,1638,8910
108,57,20278.842281595058,0.0015068287313491381,1,166,6889,1754,8477
109,50,21941.030470549373,0.2290662606701237,0,13,0,0,-13
110,20,64050.383925514216,0.2339492033941176,0,1,0,0,-1
111,60,24842.098753062768,0.005061935442045893,0,35,0,0,-35
112,19,27953.606687307514,0.11126372116392759,1,203,9026,2006,10829
113,58,21140.71143920073,0.011324617629688026,1,649,18781,1344,19476
114,43,26556.89326913826,0.0933203658380201,1,581,6867,1926,8212
115,31,21702.57373153274,0.02818542803417799,1,66,7263,2084,9281
116,24,24361.802941808248,0.011649388769091452,1,1031,6222,2970,8161
117,22,30078.55444663961,0.15147481307499916,1,344,6436,1361,7453
118,24,30236.743976516573,0.08276579786686677,1,2355,5857,1528,5030
119,61,53793.04099364819,0.08298838977669905,0,27,0,0,-27
120,67,21128.880548502708,0.08669066508250373,1,344,8024,1446,9126
121,57,23494.284121504566,0.03747018765809559,0,30,0,0,-30
122,62,48812.125883660825,0.06340496298730236,1,1264,6649,1496,6881
123,23,30279.588415394275,0.06798150348992542,1,1322,5848,4226,8752
124,39,20856.302802179292,0.17143346374878674,1,135,10966,1364,12195
125,74,33590.011383476914,0.10358147824279121,1,733,11512,1897,12676
126,57,45054.11629961312,0.022822955617844785,0,75,0,0,-75
127,72,20528.02788098869,0.01267326625258886,1,121,6678,1409,7966
128,31,28217.816485299558,0.014638704368261615,0,64,0,0,-64
129,58,42686.429916219044,0.011362603895009041,0,367,0,0,-367
130,58,21468.388498458513,0.5239803204921779,0,48,0,0,-48
131,42,21163.792669703544,0.07181080184256351,0,26,0,0,-26
132,25,20292.2914457443,0.1859679448427896,1,150,8710,1339,9899
133,21,98388.59463624303,0.07609563561285645,1,385,5616,1601,6832
134,23,30300.261145635377,0.20204522079670392,0,62,0,0,-62
135,25,37158.91084815062,0.13525303138831396,1,2442,6059,1554,5171
136,66,33556.50088240912,0.016749605936259074,1,116,8046,1393,9323
137,45,21295.482212269286,0.08278834450080844,1,172,7564,1593,8985
138,20,22502.69008491669,0.1526446975666816,1,35,6953,1645,8563
139,75,27304.57761073813,0.016028142860590018,1,308,5241,1434,6367
140,70,20733.169073758032,0.2619557215365806,0,198,0,0,-198
141,26,47178.35127093824,0.04582622485253508,0,103,0,0,-103
142,75,52846.87288842556,0.1035886319269723,1,334,9022,2179,10867
143,25,29380.006031718436,0.18373698528129004,1,210,8866,1348,10004
144,69,21064.886175915006,0.4981946940809963,1,277,6090,1362,7175
145,40,23114.2939618537,0.2033359269608372,0,15,0,0,-15
146,34,48430.2704336333,0.03257832174195418,1,450,6434,1346,7330
147,24,21748.23201923715,0.06932709300163784,1,109,7567,2753,10211
148,32,20937.156878887705,0.16430420568382706,1,258,5488,1525,6755
149,32,20344.368714450626,0.0009779501258586811,1,191,6159,4244,10212
150,53,29268.9214443413,0.05345005461288776,1,537,12595,2382,14440
151,32,34379.652025569405,0.11726895127734614,1,346,8891,1777,10322
152,75,29565.95440300889,0.26326714107137567,1,733,7169,1506,7942
153,19,41969.942304889526,0.37434200449936866,1,535,11508,1369,12342
154,48,33508.29703541753,0.02612263979543881,1,168,9532,2244,11608
155,49,30681.248670650766,0.34302440982777577,0,58,0,0,-58
156,51,28382.165317829174,0.20683698539493053,1,162,7687,1757,9282
157,33,21457.737681617433,0.0930339471833017,1,123,22744,3014,25635
158,32,25707.502534622432,0.09736637860823247,0,38,0,0,-38
159,69,25432.28936316133,0.038689143589926235,0,26,0,0,-26
160,43,26631.833642075315,0.09904883173517222,1,63,12403,1436,13776
161,46,21341.000539525117,0.17480118853220983,1,1546,5862,1388,5704
162,62,22420.587936009983,0.011505780527579751,1,69,5541,3285,8757
163,55,32034.548841583954,0.15366154021817313,0,43,0,0,-43
164,18,20420.32786838701,0.19391724542599964,1,49,5675,1397,7023
165,22,20168.385141541192,0.021469597592477265,1,311,5734,1591,7014
166,68,31457.169604984643,0.2203972199144239,0,19,0,0,-19
167,67,20283.293818958547,0.13031617823105865,1,32,8475,2291,10734
168,41,29619.489035736944,0.03513077159029567,1,407,6789,2388,8770
169,20,21183.767322007512,0.13458795165831033,1,917,6500,1533,7116
170,59,20382.859656936253,0.09914239045560085,1,2255,6373,1556,5674
171,31,25916.80362521987,0.10623863961326034,0,67,0,0,-67
172,34,29252.687773005146,0.19775830885650006,1,869,5493,1410,6034
173,37,46220.812238328086,0.08597530066334713,1,86,8594,1913,10421
174,25,28241.532426000587,0.05009657092597541,0,11,0,0,-11
175,27,21302.357122428097,0.0314677183113286,1,141,6105,3796,9760
176,18,24079.275619116594,0.23334288483006368,1,903,14221,1451,14769
177,34,23461.721399537,0.06924630650639703,1,282,5622,1534,6874
178,75,25027.54424010521,0.08316110028471776,1,556,12182,1915,13541
179,33,26504.88019331766,0.23695283042710813,1,142,11139,4956,15953
180,46,22756.580209096574,0.2468558950189311,1,373,18161,2155,19943
181,47,148423.07362376532,0.035847141399288844,1,93,5331,1621,6859
182,43,22227.733162586173,0.04619676557290817,1,566,22622,1462,23518
183,24,22386.596459745673,0.24689951924415907,1,222,5552,2500,7830
184,38,52848.441668807805,0.1263445040642535,0,86,0,0,-86
185,40,24080.302292750435,0.004245844154576252,0,194,0,0,-194
186,63,24431.322775272398,0.3275583226538122,0,1,0,0,-1
187,26,37667.9565658493,0.01726057977587176,1,493,6667,1545,7719
188,48,28776.378720884277,0.011075794079229057,0,0,0,0,0
189,27,38624.23713534383,0.17883679417968873,0,2,0,0,-2
190,20,21751.705185225106,0.060747248910471334,1,150,5462,1631,6943
191,55,29550.876595831964,0.03761104735561323,1,466,17300,2416,19250
