ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,61,21906.226271301708,0.020107032187405914,1,1365,7098,1407,7140
1,32,24911.104712759112,0.1146977564554145,1,349,22162,1675,23488
2,21,24439.76911842297,0.08680738221397981,1,757,5731,2091,7065
3,28,20941.172261868698,0.10130408291180021,1,279,7642,2139,9502
4,69,21790.942259160576,0.0919763206780664,0,18,0,0,-18
5,57,20494.693704040925,0.15143173195659068,1,170,6384,1453,7667
6,30,22010.00862616398,0.10369163248928903,1,157,5410,2722,7975
7,38,27161.72013336371,0.224748842927957,1,146,5478,1462,6794
8,58,21976.48280924576,0.2207791463451434,1,121,6020,1822,7721
9,59,33755.31027652389,0.09213703510116322,1,125,36817,1368,38060
10,26,22398.954925141003,0.13435727142731052,1,999,6393,2878,8272
11,45,22445.13539293024,0.13707742222318395,1,190,9222,1688,10720
12,58,23683.23564743552,0.04355839936645179,0,16,0,0,-16
13,43,30071.92962694785,0.12354205455183774,0,15,0,0,-15
14,28,31896.921718049492,0.04961393639515683,1,1506,6479,1955,6928
15,25,23396.48635873032,0.20739875998365773,1,484,10303,1409,11228
16,25,22605.625031869975,0.1973674721284206,0,6,0,0,-6
17,55,20646.323844865743,0.03372164013118086,1,468,7737,1371,8640
18,23,22763.37163132002,0.05194416210432165,1,119,12103,1802,13786
19,25,20434.098836206296,0.04816820065871517,1,407,8634,1468,9695
20,20,26906.038669016143,0.2565419619385154,0,25,0,0,-25
21,28,20702.08237433752,0.47725890305920726,0,7,0,0,-7
22,22,30993.417649843243,0.13658870827720446,1,93,6917,1607,8431
23,27,22975.898513355583,0.132111583733313,0,46,0,0,-46
24,24,93395.49856183719,0.22369141890576127,0,136,0,0,-136
25,57,20008.557728216027,0.07600763326752533,1,246,89288,1631,90673
26,33,27340.310132746577,0.019688641193900888,1,153,5666,1401,6914
27,73,22524.35477811795,0.031517849030833975,1,1719,7796,1835,7912
28,41,24640.78321200317,0.005156782861250367,0,260,0,0,-260
29,35,20001.766163559034,0.06147704514982462,0,64,0,0,-64
30,42,45181.28486241662,0.02124691156127952,1,102,5635,2268,7801
31,22,20176.71625651438,0.0744677902574881,0,38,0,0,-38
32,38,21479.015821235218,0.0813089493739699,1,349,8685,1731,10067
33,26,42839.94577663841,0.10130615822355195,0,33,0,0,-33
34,22,20281.166297339667,0.10123737985458925,1,178,6646,1362,7830
35,30,25248.925980010914,0.15573714970094374,1,79,8086,1589,9596
36,23,23641.880021493023,0.11563272439119957,1,401,17343,1688,18630
37,52,29706.618853046468,0.03143993713880208,1,96,5693,1423,7020
38,45,24422.10324591853,0.07026494559387961,1,713,21127,1558,21972
39,30,30028.082246874685,0.030521431878342397,1,649,6410,1575,7336
40,73,23963.60314579032,0.060138848802621284,1,155,5352,1468,6665
41,61,82487.05835746462,0.12534730102235633,1,265,11742,1456,12933
42,22,21396.212076835258,0.051401266855251385,1,692,5840,2173,7321
43,42,20585.743862210747,0.05836885587106862,1,224,7226,1478,8480
44,38,20285.14967959197,0.07738062709980677,1,522,5967,1351,6796
45,52,44088.29315913397,0.1962733936398073,1,352,7008,2708,9364
